comment,author_display_name,comment_like_count
🔥🔥🔥🔥,@ishaagarwal5170,1
Excellent 👌👌👌,@spmayashimray6219,0
"I love  sanam song
🥰🥰🥰🥰🥰😙",@santoshdurge5337,1
"Mr. Sanam...m greatful to almighty...to have you blessed with such melodious voice....
When I hear you...I reverse to my youth days...Thanks indeed to bless me with those old gold feeling..
🙏",@snowleopard4971,13
Saman ....I love your songs.... awesome...💯😍😍😍,@diptimehra139,0
Beautiful... ❤️ Touching..,@sheilajagdip5385,3
Beautiful  singing,@yvonnefernando5019,6
Sanam .waaaaw beautiful songs.your voice is nice.l love your song.❤❤❤❤❤,@lucieamietmangal3401,2
I am addicted,@minisudhir8876,0
Love  this  song  .. Hai  apna  dil  to awara......,@mamtathakur3147,0
Life  ki  jo  bhi  tension Ho  thodi  der  ke  liya  sahi  katm  ho  jati  hai  .. Ye  songs  suun  kr  .. You are  amazing  sanam.,@mamtathakur3147,2
Very nice music sanam ilove it,@zizina9617,2
O,@prernakumar9447,0
P,@prernakumar9447,0
P,@prernakumar9447,0
.0pppppp,@prernakumar9447,0
I m ur biggest fan u are awesome sir.😀,@shibanidhotre5004,0
Nice😍,@neelujain5154,0
Always peaceful and soulful songs whenever I listen #Sanam songs :),@SanjayKumar-un7xf,15
Aap bohut good looking hai,@nishapasha7709,0
Amazing...good luck 👍👍👍,@ramdhansatrio3086,1
"https://www.youtube.com/watch?v=nHPvo0yKbQg

Hi guys you can watch my wedding Haldi dance by clicking this link.
and subscribe my channel if you like the video.",@AngelAmu,0
Super sweet voice sanam👍,@alekhyanuli,0
Aap ka song bohoth sundar hai🙋‍♀️🙋‍♀️🙋‍♀️,@shilpigoshe9178,0
Mashaallha aap ki aawaz bahot achi aap bi bahot piyare ho❤️❤️❤️👌👌👌👌,@uzmabegum868,0
Aanaa pachi have bija git gava joye majaaavi aa gito ma,@goswaminishant8760,0
The most liked song of mine of yours is......mere mehboob.....I heard it 100 times till date.....especially during workout.......awesome voice throw......👌👌,@drrekhasharma4011,15
Original voic 👌,@komalpuri1916,0
Nice😎,@nanduaakhade6435,0
Sanam Puri is the best singer I have ever heard,@nirbhaysinghchauhan6985,0
Very nice yours tim and looking nice I love you ❤️❤️❤️💗💗💗,@vishc.apawarajpandit7254,1
Sanam has contributed Happiness and Peace of Mind to many in this Beautiful Planet and we should be thankful and grateful to all people like you . Keep on the great Job.,@shaikbabjee4437,39
His voice is rich with melody!,@saksharism,7
Mommy k tane or sanam k gane dil ko chu jati hai😂❤🙆‍♀️,@bipnam7388,15
Very nice voice,@kallolpurkayastha8693,0
I always listen to Sanam Puri songs . I love his voice 🥰🥰😍😍😍,@rhiommondal8927,7
Voice is really awesome 😍,@apurvas9064,12
Not good not better it's best for ever 😉😁😁,@swatikumari5013,0
Blessed voice 😍😍,@khannasibakhan9220,16
"my fvrite one 
the best",@singhrounder5202,0
I love your Voice sanam Sir💟💟,@ganeshgotram4565,6
"Thanks....bro 😊😊😊😊😊😊😊
You're voice is good 👌👌👌👌👌",@attractive_manish_,2
Your are Best singer bro,@baghimundamunda2976,0
I Love your voice sanam sir,@bururoy9500,1
"I'm sofed up I trieddownloading just audio....this is the onlyvideo,it says an errir occurred...why?why this video...all my favs are here... I'mm crying...help!!",@angel84459,1
Nice songs and also nice sanam band,@pushpalatashitole2008,0
💖💖💖💖,@kirtigoyal7894,1
My favourite all song Im big fan..,@kirtigoyal7894,0
wow,@jasminrasyani9919,1
